scenario,generation,overall_mean_correct,overall_sd_correct,sem_correct,N_runs_correct,overall_mean_correct_pct,overall_sd_correct_pct,sem_correct_pct,overall_mean_wrong_no_error,overall_sd_wrong_no_error,sem_wrong_no_error,N_runs_wrong_no_error,overall_mean_wrong_no_error_pct,overall_sd_wrong_no_error_pct,sem_wrong_no_error_pct,overall_mean_error,overall_sd_error,sem_error,N_runs_error,overall_mean_error_pct,overall_sd_error_pct,sem_error_pct,n_batches,y_mean,y_sem,y_units
CoCoEvo,0,0.392708,0.3543810682456232,0.0354381068245623,100.0,39.27080000000001,35.438106824562325,3.5438106824562325,0.265495,0.3188054721156917,0.0318805472115691,100.0,26.5495,31.880547211569173,3.188054721156917,0.341797,0.3928256333065948,0.0392825633306594,100.0,34.179700000000004,39.28256333065948,3.928256333065948,10,0.392708,0.0354381068245623,fraction
CoCoEvo,1,0.4640755000000001,0.3694360442291149,0.0369436044229114,100.0,46.40755000000001,36.9436044229115,3.6943604422911496,0.2617188,0.3073251202952582,0.0307325120295258,100.0,26.17188,30.73251202952582,3.0732512029525823,0.2742057,0.381128098311056,0.0381128098311056,100.0,27.42057,38.1128098311056,3.811280983110561,10,0.4640755000000001,0.0369436044229114,fraction
CoCoEvo,2,0.4898829,0.3758416310357275,0.0375841631035727,100.0,48.98829,37.58416310357276,3.758416310357275,0.2596745,0.3111660674924682,0.0311166067492468,100.0,25.96745,31.116606749246824,3.111660674924682,0.2504425999999999,0.3752075963423852,0.0375207596342385,100.0,25.04426,37.52075963423852,3.752075963423852,10,0.4898829,0.0375841631035727,fraction
CoCoEvo,3,0.5075131,0.3808787178703021,0.0380878717870302,100.0,50.75131,38.08787178703022,3.808787178703021,0.2603646,0.3151918584556352,0.0315191858455635,100.0,26.03646,31.51918584556352,3.151918584556352,0.2321224999999999,0.3711929361780812,0.0371192936178081,100.0,23.21225,37.11929361780812,3.711929361780812,10,0.5075131,0.0380878717870302,fraction
CoCoEvo,4,0.5270442999999999,0.3863578357285752,0.0386357835728575,100.0,52.70442999999999,38.63578357285752,3.863578357285752,0.263659,0.3241874867830295,0.0324187486783029,100.0,26.3659,32.418748678302954,3.241874867830296,0.209297,0.3666822632651221,0.0366682263265122,100.0,20.9297,36.66822632651222,3.666822632651222,10,0.5270442999999999,0.0386357835728575,fraction
CoCoEvo,5,0.5435287,0.3904720479518827,0.0390472047951882,100.0,54.35287,39.04720479518826,3.9047204795188266,0.2663149999999999,0.3291499458390023,0.0329149945839002,100.0,26.6315,32.91499458390023,3.291499458390023,0.1901564,0.3583271654582773,0.0358327165458277,100.0,19.01564,35.83271654582773,3.583271654582773,10,0.5435287,0.0390472047951882,fraction
CoCoEvo,6,0.5538151,0.3899723201126983,0.0389972320112698,100.0,55.38151,38.99723201126983,3.8997232011269833,0.2704819,0.3326136220339835,0.0332613622033983,100.0,27.04819,33.26136220339836,3.326136220339836,0.1757032999999999,0.3508540603208638,0.0350854060320863,100.0,17.57033,35.08540603208638,3.508540603208639,10,0.5538151,0.0389972320112698,fraction
CoCoEvo,7,0.5574869,0.3926152650151148,0.0392615265015114,100.0,55.74869,39.26152650151148,3.926152650151148,0.2732941,0.3359062775335321,0.0335906277533532,100.0,27.329410000000003,33.59062775335321,3.359062775335321,0.1692186,0.3508756056334731,0.0350875605633473,100.0,16.92186,35.08756056334732,3.5087560563347315,10,0.5574869,0.0392615265015114,fraction
CoCoEvo,8,0.5551302,0.3930344337644803,0.039303443376448,100.0,55.51302,39.30344337644803,3.9303443376448026,0.2769792,0.3384274590137673,0.0338427459013767,100.0,27.69792,33.84274590137673,3.384274590137673,0.1678906999999999,0.3522941626430728,0.0352294162643072,100.0,16.78907,35.22941626430728,3.5229416264307285,10,0.5551302,0.039303443376448,fraction
CoCoEvo,9,0.5566536000000001,0.3959058807188747,0.0395905880718874,100.0,55.66536000000001,39.590588071887474,3.959058807188747,0.2760808,0.340590227601611,0.0340590227601611,100.0,27.60808,34.0590227601611,3.40590227601611,0.1672656,0.3537416416045627,0.0353741641604562,100.0,16.72656,35.374164160456274,3.537416416045627,10,0.5566536000000001,0.0395905880718874,fraction
CoCoEvo,10,0.559453,0.3984011833610498,0.0398401183361049,100.0,55.9453,39.84011833610498,3.9840118336104977,0.2736719,0.3417274644022897,0.0341727464402289,100.0,27.36719,34.17274644022898,3.4172746440228976,0.166875,0.3541142303636931,0.0354114230363693,100.0,16.6875,35.411423036369314,3.541142303636931,10,0.559453,0.0398401183361049,fraction
no_mutation,0,0.392708,0.3543810682456232,0.0354381068245623,100.0,39.27080000000001,35.438106824562325,3.5438106824562325,0.265495,0.3188054721156917,0.0318805472115691,100.0,26.5495,31.880547211569173,3.188054721156917,0.341797,0.3928256333065948,0.0392825633306594,100.0,34.179700000000004,39.28256333065948,3.928256333065948,10,0.392708,0.0354381068245623,fraction
no_mutation,1,0.4640101999999999,0.3961172608336623,0.0396117260833662,100.0,46.40102,39.61172608336623,3.961172608336623,0.2611458,0.3376313528875043,0.0337631352887504,100.0,26.11458,33.76313528875043,3.3763135288750434,0.2748438,0.4116370608134199,0.0411637060813419,100.0,27.48438,41.16370608134199,4.116370608134199,10,0.4640101999999999,0.0396117260833662,fraction
no_mutation,2,0.4859895999999999,0.4154735522715998,0.0415473552271599,100.0,48.59896,41.54735522715998,4.154735522715998,0.2454168,0.3454464706744949,0.0345446470674494,100.0,24.54168,34.54464706744949,3.454464706744949,0.2685937,0.4164032540173193,0.0416403254017319,100.0,26.85937000000001,41.64032540173193,4.164032540173193,10,0.4859895999999999,0.0415473552271599,fraction
